tile_id,split,train_rank,test_rank
CBERS_4A_WPM_20210711_208_155_L4_29_30,test,,11.0
CBERS_4A_WPM_20210711_208_155_L4_33_13,test,,16.0
CBERS_4A_WPM_20210827_211_150_L4_12_14,test,,17.0
CBERS_4A_WPM_20210827_211_152_L4_44_18,test,,14.0
CBERS_4A_WPM_20220729_212_150_L4_43_44,test,,0.0
CBERS_4A_WPM_20220729_212_150_L4_46_30,test,,5.0
CBERS_4A_WPM_20220803_211_148_L4_37_26,test,,8.0
CBERS_4A_WPM_20221124_207_153_L4_42_17,test,,9.0
CBERS_4A_WPM_20230704_206_151_L4_18_22,test,,4.0
CBERS_4A_WPM_20230704_206_152_L4_15_33,test,,12.0
CBERS_4A_WPM_20230704_206_153_L4_13_21,test,,6.0
CBERS_4A_WPM_20230705_212_149_L4_22_49,test,,19.0
CBERS_4A_WPM_20230709_205_152_L4_14_12,test,,7.0
CBERS_4A_WPM_20230715_210_149_L4_44_26,test,,18.0
CBERS_4A_WPM_20230830_207_151_L4_12_29,test,,1.0
CBERS_4A_WPM_20230830_207_151_L4_29_46,test,,15.0
CBERS_4A_WPM_20230830_207_151_L4_41_45,test,,2.0
CBERS_4A_WPM_20250612_213_151_L4_20_10,test,,13.0
CBERS_4A_WPM_20250708_214_151_L4_45_23,test,,3.0
CBERS_4A_WPM_20260618_207_154_L4_10_19,test,,10.0
CBERS_4A_WPM_20230830_207_151_L4_16_27,train,0.0,
CBERS_4A_WPM_20230704_206_151_L4_12_26,train,1.0,
CBERS_4A_WPM_20240731_208_151_L4_12_8,train,2.0,
CBERS_4A_WPM_20200730_209_152_L4_28_46,train,3.0,
CBERS_4A_WPM_20200715_212_151_L4_42_18,train,4.0,
CBERS_4A_WPM_20230704_206_153_L4_34_17,train,5.0,
CBERS_4A_WPM_20230830_207_151_L4_10_16,train,6.0,
CBERS_4A_WPM_20250702_209_153_L4_36_12,train,7.0,
CBERS_4A_WPM_20230704_206_152_L4_31_11,train,8.0,
CBERS_4A_WPM_20210827_211_152_L4_34_13,train,9.0,
CBERS_4A_WPM_20240731_208_151_L4_12_18,train,10.0,
CBERS_4A_WPM_20221124_207_153_L4_29_46,train,11.0,
CBERS_4A_WPM_20210827_211_150_L4_24_42,train,12.0,
CBERS_4A_WPM_20240706_213_149_L4_49_13,train,13.0,
CBERS_4A_WPM_20230705_212_149_L4_44_37,train,14.0,
CBERS_4A_WPM_20240630_208_154_L4_44_18,train,15.0,
CBERS_4A_WPM_20240630_208_154_L4_31_50,train,16.0,
CBERS_4A_WPM_20240731_208_152_L4_27_17,train,17.0,
CBERS_4A_WPM_20260709_209_150_L4_20_6,train,18.0,
CBERS_4A_WPM_20230830_207_151_L4_16_23,train,19.0,
CBERS_4A_WPM_20240731_208_151_L4_22_39,train,20.0,
CBERS_4A_WPM_20250708_214_151_L4_14_33,train,21.0,
CBERS_4A_WPM_20221124_207_153_L4_35_20,train,22.0,
CBERS_4A_WPM_20240731_208_151_L4_25_35,train,23.0,
CBERS_4A_WPM_20210701_210_151_L4_21_18,train,24.0,
CBERS_4A_WPM_20230704_206_151_L4_41_36,train,25.0,
CBERS_4A_WPM_20250611_207_152_L4_16_23,train,26.0,
CBERS_4A_WPM_20240731_208_151_L4_28_24,train,27.0,
CBERS_4A_WPM_20210711_208_155_L4_33_18,train,28.0,
CBERS_4A_WPM_20220729_212_150_L4_45_40,train,29.0,
CBERS_4A_WPM_20240731_208_152_L4_27_43,train,30.0,
CBERS_4A_WPM_20260618_207_154_L4_16_38,train,31.0,
CBERS_4A_WPM_20250708_214_151_L4_28_7,train,32.0,
CBERS_4A_WPM_20260618_207_154_L4_4_44,train,33.0,
CBERS_4A_WPM_20230715_210_149_L4_10_44,train,34.0,
CBERS_4A_WPM_20250611_207_152_L4_28_20,train,35.0,
