run,arm,Urban,Agriculture_Rangeland,Forest,Water,Barren,Unknown
finetune-lr0.0001,finetune,0.8938,0.9073,0.8655,0.9613,0.4296,
finetune-lr0.0001-tr40,finetune,0.8934,0.8867,0.8516,0.9528,0.2933,
finetune-lr0.0003,finetune,0.9023,0.907,0.844,0.9671,0.4777,
finetune-lr0.0003-tr40,finetune,0.8935,0.9011,0.8515,0.9486,0.4426,
finetune-lr0.001,finetune,0.8921,0.8975,0.8584,0.934,0.4985,
finetune-lr1e-05,finetune,0.8934,0.9055,0.8618,0.9626,0.4175,
finetune-lr3e-05,finetune,0.8949,0.9051,0.8643,0.959,0.4349,
finetune-lr3e-05-tr40,finetune,0.864,0.8843,0.8368,0.9422,0.3248,
scratch-lr0.0001,scratch,0.8941,0.895,0.8644,0.9477,0.4162,
scratch-lr0.0001-tr40,scratch,0.8764,0.8888,0.8543,0.95,0.3569,
scratch-lr0.0003,scratch,0.8832,0.8861,0.837,0.9349,0.3912,
scratch-lr0.0003-tr40,scratch,0.8722,0.8947,0.8559,0.9559,0.3763,
scratch-lr3e-05,scratch,0.8881,0.8853,0.8496,0.9559,0.3399,
scratch-lr3e-05-tr40,scratch,0.8109,0.8474,0.8382,0.9193,0.2278,
zeroshot,zeroshot,0.3622,0.3692,0.2151,0.1663,0.0716,
